smiles_raw,smiles,valid_rdkit,in_training_set
CCC(COC)(NC(=O)c1ccc(O)c(F)c1F)C(=O)Nc1ccc2ncccc2c1,CCC(COC)(NC(=O)c1ccc(O)c(F)c1F)C(=O)Nc1ccc2ncccc2c1,True,False
CC1CC(C)CN(C(=O)CNc2ccccc2C(F)(F)F)C1,CC1CC(C)CN(C(=O)CNc2ccccc2C(F)(F)F)C1,True,False
Cn1nccc1CNCc1cn(C2CCN(Cc3ccc(O)c(Oc4ccccc4)c3)C2)nn1,Cn1nccc1CNCc1cn(C2CCN(Cc3ccc(O)c(Oc4ccccc4)c3)C2)nn1,True,False
Cc1cc(C2(C(F)(F)F)NC(=O)/C(=C\c3ccc(Oc4ccncn4)cc3)CO2)cc(OCCCO)c1,Cc1cc(OCCCO)cc(C2(C(F)(F)F)NC(=O)/C(=C\c3ccc(Oc4ccncn4)cc3)CO2)c1,True,False
N#Cc1ccc2nc(Nc3cccc(CN4CCCC4=O)c3)cnc2c1,N#Cc1ccc2nc(Nc3cccc(CN4CCCC4=O)c3)cnc2c1,True,False
CCOCCC(=O)N1CC2CCN(C(=O)c3c[nH]nc3C)CC21,CCOCCC(=O)N1CC2CCN(C(=O)c3c[nH]nc3C)CC21,True,False
Cc1cccc(OCC(=O)NCC(C)CNC(=O)C2=COCCO2)c1,Cc1cccc(OCC(=O)NCC(C)CNC(=O)C2=COCCO2)c1,True,False
CN(C(=O)NC1CCOC2(CCC2)C1)C1CCN(C(=O)OC(C)(C)C)CC1,CN(C(=O)NC1CCOC2(CCC2)C1)C1CCN(C(=O)OC(C)(C)C)CC1,True,False
C=CC(=O)N1CCC(=NNc2cc(C(F)(F)F)nc3ncnn23)C1,C=CC(=O)N1CCC(=NNc2cc(C(F)(F)F)nc3ncnn23)C1,True,False
O=C(c1cccc2nc(O)oc21)N1CCC(N2CC(F)C2)CC1,O=C(c1cccc2nc(O)oc12)N1CCC(N2CC(F)C2)CC1,True,False
COc1ccc2c(c1)N(C(=O)C1CCC=CO1)CC(Cc1ccc(F)cc1)=NO2,COc1ccc2c(c1)N(C(=O)C1CCC=CO1)CC(Cc1ccc(F)cc1)=NO2,True,False
Cc1cc(C2(Nc3ncc(F)c(Nc4cccc(OCc5ccccc5)c4)n3)CCOCC2)on1,Cc1cc(C2(Nc3ncc(F)c(Nc4cccc(OCc5ccccc5)c4)n3)CCOCC2)on1,True,False
CCOCCN1CCN(c2nnc(-c3ccc(-c4ccccc4)[nH]3)n2C(C)C)CC1,CCOCCN1CCN(c2nnc(-c3ccc(-c4ccccc4)[nH]3)n2C(C)C)CC1,True,False
Cc1cc(C(=O)Nc2cc(C(C)(C)C)nn2Cc2csc(Nc3ccccc3)n2)n(C)n1,Cc1cc(C(=O)Nc2cc(C(C)(C)C)nn2Cc2csc(Nc3ccccc3)n2)n(C)n1,True,False
N#CCc1ccc(NC(=O)c2cccc(OC(=O)c3ccccc3)c2)cc1,N#CCc1ccc(NC(=O)c2cccc(OC(=O)c3ccccc3)c2)cc1,True,False
C=CCc1cc(OCC)c(OCCOC(C)(C)C)c(OCC)c1,C=CCc1cc(OCC)c(OCCOC(C)(C)C)c(OCC)c1,True,False
O=C(NO)c1cc(N2CCOCC2)ccc1Nc1nc(C(F)(F)F)cs1,O=C(NO)c1cc(N2CCOCC2)ccc1Nc1nc(C(F)(F)F)cs1,True,False
CCn1nc(C)cc1/N=C(/NC(=O)c1ccnn1Cc1ccccc1)NN=Nc1ccc(OC)c(Cl)c1,CCn1nc(C)cc1/N=C(\NN=Nc1ccc(OC)c(Cl)c1)NC(=O)c1ccnn1Cc1ccccc1,True,False
Cc1ccc(C(=O)Nc2ccc3c(c2)NC(=O)C3)c(Cl)c1,Cc1ccc(C(=O)Nc2ccc3c(c2)NC(=O)C3)c(Cl)c1,True,False
Cc1cc(S(=O)(=O)N2CCC(CNC(=O)C(N)=O)CC2)cnc1NC1=CN(C(C)=O)C(=O)/C(=C/c2cc(Cl)cc(Cl)c2O)C1,CC(=O)N1C=C(Nc2ncc(S(=O)(=O)N3CCC(CNC(=O)C(N)=O)CC3)cc2C)C/C(=C\c2cc(Cl)cc(Cl)c2O)C1=O,True,False
Cc1cnc(CNC2CCN(C(=O)c3noc4c3CCCC4)C2)s1,Cc1cnc(CNC2CCN(C(=O)c3noc4c3CCCC4)C2)s1,True,False
Cc1nc(Cn2nnnc2N2CCC(NC(=O)NC3CCCCC3)CC2)cs1,Cc1nc(Cn2nnnc2N2CCC(NC(=O)NC3CCCCC3)CC2)cs1,True,False
CCc1nc(CN2CC(O)(CNC(=O)CC(C)n3cccn3)C2)no1,CCc1nc(CN2CC(O)(CNC(=O)CC(C)n3cccn3)C2)no1,True,False
C=CC(=O)N1CC(NC(=O)OC)C(CNc2ccc3c(c2)OCCCO3)C1,C=CC(=O)N1CC(CNc2ccc3c(c2)OCCCO3)C(NC(=O)OC)C1,True,False
O=C(NCC1COCCN1C(=O)C1OCC2CCCC21)c1ccncc1,O=C(NCC1COCCN1C(=O)C1OCC2CCCC21)c1ccncc1,True,False
Cc1nnc(CN2CC(NC(=O)c3cnc4n3CCC4)C(OCCOCC3COc4ccccc4O3)C2)o1,Cc1nnc(CN2CC(NC(=O)c3cnc4n3CCC4)C(OCCOCC3COc4ccccc4O3)C2)o1,True,False
CCN(CCc1ccccc1)c1nnc(-c2ccc(Br)s2)n1CC1CCCS(=O)(=O)C1,CCN(CCc1ccccc1)c1nnc(-c2ccc(Br)s2)n1CC1CCCS(=O)(=O)C1,True,False
CN(C(=O)c1cc2c(nc1O)CCC2)C1CCNC1=O,CN(C(=O)c1cc2c(nc1O)CCC2)C1CCNC1=O,True,False
CC(C)(C)OC(=O)N1CCCOC(CN2CCN(C3=NNC(=O)/C(=C/c4ccc(OCC5CCCCC5)cc4)C3=O)CC2)C1,CC(C)(C)OC(=O)N1CCCOC(CN2CCN(C3=NNC(=O)/C(=C/c4ccc(OCC5CCCCC5)cc4)C3=O)CC2)C1,True,False
CONC(=O)Nc1cc(Nc2nccc(N3CCC(c4ccccn4)C3)n2)c(OC)cc1N1CCCCC1,CONC(=O)Nc1cc(Nc2nccc(N3CCC(c4ccccn4)C3)n2)c(OC)cc1N1CCCCC1,True,False
COc1ccc(CN(CC(O)Cn2cc([N+](=O)[O-])cn2)C2CC2)cc1,COc1ccc(CN(CC(O)Cn2cc([N+](=O)[O-])cn2)C2CC2)cc1,True,False
CC(=O)NC1CCC(C)N(Cc2cc3cc(Cl)ccc3[nH]2)C1,CC(=O)NC1CCC(C)N(Cc2cc3cc(Cl)ccc3[nH]2)C1,True,False
Cc1ccn(Cc2cn(-c3ccccc3C)nc2C(C)(C)C)c(=O)c1-c1nnc2n1CCN(Cc1ccc3c(c1)OCO3)CC2,Cc1ccccc1-n1cc(Cn2ccc(C)c(-c3nnc4n3CCN(Cc3ccc5c(c3)OCO5)CC4)c2=O)c(C(C)(C)C)n1,True,False
CNC(=O)c1cc(Nc2cccc(OC(C)C)c2F)ccc1F,CNC(=O)c1cc(Nc2cccc(OC(C)C)c2F)ccc1F,True,False
COc1ccc(O)c(Nc2cnc(Br)c(C)c2)c1,COc1ccc(O)c(Nc2cnc(Br)c(C)c2)c1,True,False
CC(NC(=O)c1cc(-c2cccs2)on1)c1nnc2n1CCC2,CC(NC(=O)c1cc(-c2cccs2)on1)c1nnc2n1CCC2,True,False
C=C(C)CCC(=O)NCC1CCN(c2nc(C(F)(F)F)nc3ccccc32)CC1,C=C(C)CCC(=O)NCC1CCN(c2nc(C(F)(F)F)nc3ccccc23)CC1,True,False
CCC(=O)N1CSCC1C(=O)Nc1ccc2nonc2c1,CCC(=O)N1CSCC1C(=O)Nc1ccc2nonc2c1,True,False
C=C(Cl)CC(Nc1ncc(Cl)c(Nc2cccc(N3CCN(C)CC3)c2)n1)S(=O)(=O)/C(C#N)=C/c1ccc(O)cc1,C=C(Cl)CC(Nc1ncc(Cl)c(Nc2cccc(N3CCN(C)CC3)c2)n1)S(=O)(=O)/C(C#N)=C/c1ccc(O)cc1,True,False
Cc1nn(CC(F)F)c(C)c1C(=O)NCc1ccccc1,Cc1nn(CC(F)F)c(C)c1C(=O)NCc1ccccc1,True,False
O=S(=O)(NCCc1ccc2ncccc2c1)c1cccc2c1N=Nc1ccccc1O2,O=S(=O)(NCCc1ccc2ncccc2c1)c1cccc2c1N=Nc1ccccc1O2,True,False
CCn1cc(CNC2CN(C(=O)c3cc[nH]n3)CC2(C)C)nn1,CCn1cc(CNC2CN(C(=O)c3cc[nH]n3)CC2(C)C)nn1,True,False
CC(=O)Nc1ccc(Nc2ncc(C)cc2C(F)(F)F)cc1,CC(=O)Nc1ccc(Nc2ncc(C)cc2C(F)(F)F)cc1,True,False
N#Cc1cnc(NC2CCN(C(=O)Nc3ccc(N4CCC(O)CC4)cc3)C2)c(-c2cccc3c2CNCC3)c1,N#Cc1cnc(NC2CCN(C(=O)Nc3ccc(N4CCC(O)CC4)cc3)C2)c(-c2cccc3c2CNCC3)c1,True,False
CCC(=O)NC(C)(C(=O)OC(C)C)c1ccc2c(N)ncnc2c1,CCC(=O)NC(C)(C(=O)OC(C)C)c1ccc2c(N)ncnc2c1,True,False
O=C(NC1CCN(S(=O)(=O)C2CC2)CC1)c1cnc(Nc2ccccc2)nc1C(F)(F)F,O=C(NC1CCN(S(=O)(=O)C2CC2)CC1)c1cnc(Nc2ccccc2)nc1C(F)(F)F,True,False
CN(Cc1ccc2ncoc2c1)C1CCNC1,CN(Cc1ccc2ncoc2c1)C1CCNC1,True,False
COc1cc2c(Nc3ccc(N4CCN(C)CC4)nc3)ncnc2cc1OCC1CCN(C2CC=CC2)CC1,COc1cc2c(Nc3ccc(N4CCN(C)CC4)nc3)ncnc2cc1OCC1CCN(C2CC=CC2)CC1,True,False
CCNCC(C)NC(=O)c1sc(COC)nc1C,CCNCC(C)NC(=O)c1sc(COC)nc1C,True,False
CC(=O)NC1CCN(c2ccc(-c3nn[nH]n3)c(Cl)c2)C1,CC(=O)NC1CCN(c2ccc(-c3nn[nH]n3)c(Cl)c2)C1,True,False
C=CCCOCC(=O)NCC(Nc1ccc(-c2nn[nH]n2)nn1)C(C)C,C=CCCOCC(=O)NCC(Nc1ccc(-c2nn[nH]n2)nn1)C(C)C,True,False
Cc1ccccc1C(=O)NC(C(=O)Nc1nc2cncnc2[nH]1)C(C)(C)C,Cc1ccccc1C(=O)NC(C(=O)Nc1nc2cncnc2[nH]1)C(C)(C)C,True,False
C=CC(C)=CCC(=O)N1CCN(c2ncccc2OC)CC1,C=CC(C)=CCC(=O)N1CCN(c2ncccc2OC)CC1,True,False
COCCC1(C(=O)NC2(C)COC2)CCOCC1,COCCC1(C(=O)NC2(C)COC2)CCOCC1,True,False
CCN(CCCNC(=O)C12COCC1C2)C(=O)c1ccc(-c2ccncc2)o1,CCN(CCCNC(=O)C12COCC1C2)C(=O)c1ccc(-c2ccncc2)o1,True,False
O=C(NCCc1cc(C(F)(F)F)ccn1)N1CCCN(C(=O)c2ccc(F)cc2)CC1,O=C(NCCc1cc(C(F)(F)F)ccn1)N1CCCN(C(=O)c2ccc(F)cc2)CC1,True,False
O=C(Nc1cc(F)c(Cl)cc1N1CCOCC1)Nc1cnc2ccc(F)cc2c1,O=C(Nc1cnc2ccc(F)cc2c1)Nc1cc(F)c(Cl)cc1N1CCOCC1,True,False
CC(NC(=O)N1CC2(C1)CCN(C)CC2)c1nnnn1-c1ccccc1,CC(NC(=O)N1CC2(CCN(C)CC2)C1)c1nnnn1-c1ccccc1,True,False
FC(F)(F)c1cc(NCc2ccc(-c3nn[nH]n3)c(Cl)c2)nc2cnccc12,FC(F)(F)c1cc(NCc2ccc(-c3nn[nH]n3)c(Cl)c2)nc2cnccc12,True,False
O=C(CCOc1ccc2cc(Br)ccc2c1)NOC1CCOC1,O=C(CCOc1ccc2cc(Br)ccc2c1)NOC1CCOC1,True,False
CCSc1nnc(-c2cccc([N+](=O)[O-])c2)n1S(=O)(=O)c1ccc(C)cc1,CCSc1nnc(-c2cccc([N+](=O)[O-])c2)n1S(=O)(=O)c1ccc(C)cc1,True,False
COc1nccc(C(=O)N2CC3(F)CN(C(C)C(C)=O)C(=O)C3(C)C2)c1C,COc1nccc(C(=O)N2CC3(F)CN(C(C)C(C)=O)C(=O)C3(C)C2)c1C,True,False
Fc1cc2ncnc(Nc3ccc(-c4ccco4)cc3F)c2cc1F,Fc1cc2ncnc(Nc3ccc(-c4ccco4)cc3F)c2cc1F,True,False
CC(C)NC(=O)Nc1ccc(-c2noc(CN(C(=O)OC(C)(C)C)c3ccccc3)n2)cc1,CC(C)NC(=O)Nc1ccc(-c2noc(CN(C(=O)OC(C)(C)C)c3ccccc3)n2)cc1,True,False
CC=C(C)C(=O)N1CCCC2(CCN(Cc3noc(C(F)F)c3C)C2)C1,CC=C(C)C(=O)N1CCCC2(CCN(Cc3noc(C(F)F)c3C)C2)C1,True,False
CCn1c(=O)c2ccccc2n(CCOCC2(C#N)CC2)c1=O,CCn1c(=O)c2ccccc2n(CCOCC2(C#N)CC2)c1=O,True,False
CCCN(C)CC(=O)Nc1cc2c(Nc3ccccc3)ncnc2cc1OCCCC(=O)N1CCOCC1,CCCN(C)CC(=O)Nc1cc2c(Nc3ccccc3)ncnc2cc1OCCCC(=O)N1CCOCC1,True,False
C=Cc1ccc(C(=O)NCC(C)N2CCc3sccc3C2)cc1,C=Cc1ccc(C(=O)NCC(C)N2CCc3sccc3C2)cc1,True,False
Cc1nc(C2CCCN2S(=O)(=O)c2cc(Br)c(Cl)cc2F)cs1,Cc1nc(C2CCCN2S(=O)(=O)c2cc(Br)c(Cl)cc2F)cs1,True,False
CCOc1cc(/N=N/c2ccc(C(N)=O)nc2)c(Cl)cn1,CCOc1cc(/N=N/c2ccc(C(N)=O)nc2)c(Cl)cn1,True,False
N#Cc1cncc(NN=C2CCC3(CCCCC3)CC2)n1,N#Cc1cncc(NN=C2CCC3(CCCCC3)CC2)n1,True,False
COc1ccc(Cl)cc1N1CCC(NC(=O)NC(C)c2ccc(N3CCNC3=O)cc2)C1,COc1ccc(Cl)cc1N1CCC(NC(=O)NC(C)c2ccc(N3CCNC3=O)cc2)C1,True,False
CC(=O)NC1CN(C(=O)C(C)c2ccc(S(N)(=O)=O)cc2)CC12CN(C(=O)c1ccco1)C2,CC(=O)NC1CN(C(=O)C(C)c2ccc(S(N)(=O)=O)cc2)CC12CN(C(=O)c1ccco1)C2,True,False
COC(=O)Nc1ccc(C(=O)Nc2[nH]nc3c(Nc4cccc(Cl)n4)cccc23)c(OC2CC=CC2)c1,COC(=O)Nc1ccc(C(=O)Nc2[nH]nc3c(Nc4cccc(Cl)n4)cccc23)c(OC2CC=CC2)c1,True,False
CCOC(CN1CCC(O)(CNC(=O)Cc2ccc[nH]2)C1)C1CC1,CCOC(CN1CCC(O)(CNC(=O)Cc2ccc[nH]2)C1)C1CC1,True,False
CN(Cc1cc(F)ccc1Oc1ccc(F)c(Cl)c1)C(=O)NC1CCN(C(=O)C2CCCO2)CC1,CN(Cc1cc(F)ccc1Oc1ccc(F)c(Cl)c1)C(=O)NC1CCN(C(=O)C2CCCO2)CC1,True,False
CCN(C)C(=O)c1cccc(Nc2ccnc(Nc3cccc(Cl)c3)n2)c1,CCN(C)C(=O)c1cccc(Nc2ccnc(Nc3cccc(Cl)c3)n2)c1,True,False
CC(C)CC(=O)N1CCN(CCN2CCN(C(=O)COC(C)C)C(C)C2)C2=C(C(=O)CCC2)C1c1cccc(Oc2ccccc2)c1,CC(C)CC(=O)N1CCN(CCN2CCN(C(=O)COC(C)C)C(C)C2)C2=C(C(=O)CCC2)C1c1cccc(Oc2ccccc2)c1,True,False
COc1ccc(S(=O)(=O)N2CC(N3CCN(C(C)=O)CC3)C2)cc1Cl,COc1ccc(S(=O)(=O)N2CC(N3CCN(C(C)=O)CC3)C2)cc1Cl,True,False
C=CCN(c1nnc(-c2cccc(C#N)c2)n1CCN1CCOCC1)C1CCC1OC,C=CCN(c1nnc(-c2cccc(C#N)c2)n1CCN1CCOCC1)C1CCC1OC,True,False
COc1c(C)cccc1Oc1ncnc2c(Nc3ccccc3F)ncnc12,COc1c(C)cccc1Oc1ncnc2c(Nc3ccccc3F)ncnc12,True,False
COCCN(CCCOc1ccc(F)cc1)c1nc(Nc2ccc(OC(C)C)cc2)ncc1C#N,COCCN(CCCOc1ccc(F)cc1)c1nc(Nc2ccc(OC(C)C)cc2)ncc1C#N,True,False
COCC(=O)N1CC(CNC(=O)C2(C)CCN(C(C)=O)C2)C1,COCC(=O)N1CC(CNC(=O)C2(C)CCN(C(C)=O)C2)C1,True,False
COc1cc(Br)ccc1C(C)NCCCN1CCCOC(C)C1,COc1cc(Br)ccc1C(C)NCCCN1CCCOC(C)C1,True,False
CC(=O)Nc1ccc(Br)cc1Nc1ccnc(-c2cc(F)c(F)c(F)c2)c1,CC(=O)Nc1ccc(Br)cc1Nc1ccnc(-c2cc(F)c(F)c(F)c2)c1,True,False
O=C(NCc1ccc2c(c1)C(=O)NC2)c1cccc(-c2nc[nH]n2)c1,O=C(NCc1ccc2c(c1)C(=O)NC2)c1cccc(-c2nc[nH]n2)c1,True,False
Cc1ccc(C(=O)NC2CC3(COC(C)(C)C3)C2)cc1S(=O)(=O)Nc1ccc2c(c1)OCCO2,Cc1ccc(C(=O)NC2CC3(COC(C)(C)C3)C2)cc1S(=O)(=O)Nc1ccc2c(c1)OCCO2,True,False
Cc1nc2c([nH]1)CCN(C(=O)c1cncc3nc(Cl)ccc31)CC2,Cc1nc2c([nH]1)CCN(C(=O)c1cncc3nc(Cl)ccc13)CC2,True,False
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3)ncc2Cl)c1,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3)ncc2Cl)c1,True,False
O=C(Nc1nc2n(n1)CCCC2)c1cc2n(n1)nc1cc(Cl)cc(Br)c2n1,O=C(Nc1nc2n(n1)CCCC2)c1cc2c3nc(nn2n1)C=C(Cl)C=C3Br,True,False
CN(Cc1cccc(Br)c1N1CCOCC1)C1CCCNC1,CN(Cc1cccc(Br)c1N1CCOCC1)C1CCCNC1,True,False
CN(Cc1cnn2c1CN(C(=O)Nc1ccc(F)c(F)c1)CC2)Cc1cccc(O)c1,CN(Cc1cccc(O)c1)Cc1cnn2c1CN(C(=O)Nc1ccc(F)c(F)c1)CC2,True,False
CCC1CC(C(=O)Nc2cc(F)cc(Br)c2F)CC(C)O1,CCC1CC(C(=O)Nc2cc(F)cc(Br)c2F)CC(C)O1,True,False
Cc1cccn2cc(COc3ccc(Nc4ccc(CN5CCNC(=O)C5)cc4)cc3)nc12,Cc1cccn2cc(COc3ccc(Nc4ccc(CN5CCNC(=O)C5)cc4)cc3)nc12,True,False
C=CCCCn1c(-c2cc3c(s2)CCCCC3)nnc1N(C)CC(=O)NC(C)(C)C,C=CCCCn1c(-c2cc3c(s2)CCCCC3)nnc1N(C)CC(=O)NC(C)(C)C,True,False
COc1cc2ncnc(NC(=O)c3ccccc3)c2cc1OC(C)CN(C)c1ncnc2c1CN(Cc1ccccc1)CC2,COc1cc2ncnc(NC(=O)c3ccccc3)c2cc1OC(C)CN(C)c1ncnc2c1CN(Cc1ccccc1)CC2,True,False
COCC(=O)NC1CN(c2ncnc3cc(F)c(Br)cc23)CC2(CCOCC2)C1,COCC(=O)NC1CN(c2ncnc3cc(F)c(Br)cc23)CC2(CCOCC2)C1,True,False
COc1ccc(C(=O)Nc2ccc(OC(F)F)cc2)cc1-c1ccc(C(=O)Nc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,COc1ccc(C(=O)Nc2ccc(OC(F)F)cc2)cc1-c1ccc(C(=O)Nc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,True,False
CCC(=O)Nc1cc(Nc2cc(C)nc(C3CCC3)n2)c(OC)cc1N(C)CCCO,CCC(=O)Nc1cc(Nc2cc(C)nc(C3CCC3)n2)c(OC)cc1N(C)CCCO,True,False
COc1cc2ncnc(Nc3cc(OC(F)(F)F)ccc3-c3ccc(C)cc3)c2cc1OCCCOCC(C)(C)O,COc1cc2ncnc(Nc3cc(OC(F)(F)F)ccc3-c3ccc(C)cc3)c2cc1OCCCOCC(C)(C)O,True,False
O=C(Nc1cccc(N2C(=O)CCCC2=O)c1)C(=O)N1CC(N2CCOCC2)C1,O=C(Nc1cccc(N2C(=O)CCCC2=O)c1)C(=O)N1CC(N2CCOCC2)C1,True,False
Cc1cc(Br)ccc1C(C#N)NC1CCC(N2CCOCC2)CC1,Cc1cc(Br)ccc1C(C#N)NC1CCC(N2CCOCC2)CC1,True,False
C=CC(=O)Nc1cc(Nc2nc3ccccc3n2C)ccc1NC(C)=O,C=CC(=O)Nc1cc(Nc2nc3ccccc3n2C)ccc1NC(C)=O,True,False
COC(=O)CCCc1nc(-c2ccc(OCc3ccc(F)cc3)cc2)no1,COC(=O)CCCc1nc(-c2ccc(OCc3ccc(F)cc3)cc2)no1,True,False
Cc1cc(CN2CC(O)(CNC(=O)c3cnn(C)c3N)C2)sn1,Cc1cc(CN2CC(O)(CNC(=O)c3cnn(C)c3N)C2)sn1,True,False
CC(C)(C)OC(=O)Nc1ncc(Nc2ccc(F)c(Cl)c2)cn1,CC(C)(C)OC(=O)Nc1ncc(Nc2ccc(F)c(Cl)c2)cn1,True,False
